root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:24:37.906980 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3688:3724, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.907047 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3724:3928, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 204
21:24:37.907101 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 3928:4168, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 240
21:24:37.907131 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 4168:4204, ack 1, win 902, options [nop,nop,TS val 4230508324 ecr 1280389224], length 36
21:24:37.907168 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 4204:4408, ack 1, win 902, options [nop,nop,TS val 4230508325 ecr 1280389224], length 204
21:24:37.907217 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 4408:4444, ack 1, win 902, options [nop,nop,TS val 4230508325 ecr 1280389224], length 36
21:24:37.907236 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 4444:4632, ack 1, win 902, options [nop,nop,TS val 4230508325 ecr 1280389224], length 188
21:24:37.907262 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 4632:4668, ack 1, win 902, options [nop,nop,TS val 4230508325 ecr 1280389224], length 36
21:24:37.930951 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 4668, win 5741, options [nop,nop,TS val 1280389315 ecr 4230508324], length 0
21:24:37.931027 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 4668:5580, ack 1, win 902, options [nop,nop,TS val 4230508348 ecr 1280389315], length 912
21:24:37.943771 IP 99.252.115.234.42082 > 134.122.38.74.22: Flags [.], ack 5580, win 5741, options [nop,nop,TS val 1280389339 ecr 4230508348], length 0
21:24:38.010432 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 5580:5784, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 204
21:24:38.010502 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 5784:5820, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 36
21:24:38.010539 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 5820:6024, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 204
21:24:38.010600 IP 134.122.38.74.22 > 99.252.115.234.42082: Flags [P.], seq 6024:6300, ack 1, win 902, options [nop,nop,TS val 4230508428 ecr 1280389339], length 276
