root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
21:26:52.289551 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 680, win 4953, options [nop,nop,TS val 1280523678 ecr 4230642687], length 0
21:26:52.289551 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1220, win 4951, options [nop,nop,TS val 1280523678 ecr 4230642687], length 0
21:26:52.289551 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 1796, win 4949, options [nop,nop,TS val 1280523678 ecr 4230642687], length 0
21:26:52.289551 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2392, win 4945, options [nop,nop,TS val 1280523678 ecr 4230642687], length 0
21:26:52.289610 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 2392:3232, ack 1, win 902, options [nop,nop,TS val 4230642707 ecr 1280523678], length 840
21:26:52.308778 IP pool-99-252-115-234.cpe.net.cable.rogers.com.42082 > lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3232, win 4939, options [nop,nop,TS val 1280523697 ecr 4230642707], length 0
21:26:52.370408 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 3232:3484, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 252
21:26:52.370504 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 3484:3520, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 36
21:26:52.370556 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 3520:3772, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 252
21:26:52.370597 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 3772:3808, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 36
21:26:52.370658 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 3808:4060, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 252
21:26:52.370697 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4060:4096, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 36
21:26:52.370754 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4096:4348, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 252
21:26:52.370820 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4348:4384, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 36
21:26:52.370860 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4384:4636, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 252
21:26:52.370899 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4636:4672, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 36
21:26:52.371102 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4672:4924, ack 1, win 902, options [nop,nop,TS val 4230642788 ecr 1280523697], length 252
21:26:52.371166 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4924:4960, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371237 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 4960:5220, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 260
21:26:52.371274 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 5220:5256, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371325 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 5256:5508, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 252
21:26:52.371362 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 5508:5544, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 36
21:26:52.371413 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > pool-99-252-115-234.cpe.net.cable.rogers.com.42082: Flags [P.], seq 5544:5804, ack 1, win 902, options [nop,nop,TS val 4230642789 ecr 1280523697], length 260
